KUALIFIKASI PERUSAHAAN,NAMA VENDOR,STATUS REKANAN,BIDANG USAHA,CQSMS VENDOR,PROVINSI,INDUSTRY KEY,KODE SUBKLASIFIKASI SBU
"PT","Alba Unggul Metal","Calon Rekanan Waskita Approved Level 1","Supplier Menengah,","","Jawa Barat","ACP / ALUMINIUM COMPOSITE PANEL, SUBKON ;","BG009"
"PT","KIARA SENTOSA KUNINGAN","Rekanan Terdaftar","Supplier Menengah","Supplier : 65 High Risk (Version 3)","DKI Jakarta","GENSET / GENERATOR SET, SUPPLIER","BS004"
"PT","PILAR UTAMA","Registered","Supplier Besar","","DKI Jakarta","","KK001"
"PT","ENVITECH PERKASA","Registered","Sub Kontraktor Kecil dan Menengah","","Banten","","IN007"
"CV","PROGRESMAX","Registered","Sub Kontraktor Kecil dan Menengah","","Nusa Tenggara Timur","","BS004"
"PT","ANGKASA SARANA JAYA","Unverified","Perusahaan Mikro dan Kecil (Supplier dan Non-Konstruksi)","","Sumatera Selatan","","BG009"
"PT","KMU KONSTRUKSI INDONESIA","Rekanan Terdaftar","Sub Kontraktor Kecil dan Menengah","Sub Kontraktor : 89 High Risk (Version 3)","DKI Jakarta","JASA DESAIN REKAYASA KONSTRUKSI PONDASI & STRUKTUR BANGUNAN, SUBKON ;","BS020"
"PT","RODAMAS INTI TEKNIKA","Unverified","Jasa Khusus Menengah dan Besar - Non Konstruksi","","Banten","TEKNOLOGI INFORMASI / IT","IN008"
"PT","CATUR PUTRA MANUNGGAL","Unverified","Sub Kontraktor","","Jawa Timur","","PL004"
"PT","BIMANTARA UTAMA","Registered","Supplier Besar","","DKI Jakarta","","BG005"
"PT","CAHAYA INDRA LAKSANA","Rekanan Terdaftar","Supplier Menengah,","Sub Kontraktor : 46 Medium Risk (Version 2), Supplier : 55 Low Risk (Version 1)","Jawa Barat","GALIAN & TIMBUNAN, SUBKON","PL004"
"PT","RED JAYA UTAMA","Registered","Sub Kontraktor Kecil dan Menengah","","","","BS004"
"PT","BOAS PRATAMA","Rekanan Terdaftar","Supplier","Supplier : 70 Medium Risk (Version 1)","DKI Jakarta","","BS004"
"PT","CV ANDA KARYA","Rekanan Terdaftar","Supplier Besar","Supplier : 32 Low Risk (Version 3), Sub Kontraktor : 31 Low Risk (Version 3)","DKI Jakarta","ELECTRICAL & CABLE POWER , SUPPLIER","BG009"
"PT","ARAFAH II","Rekanan Terdaftar","Supplier Besar","Supplier : 55 Medium Risk (Version 3)","DKI Jakarta","BETON READY MIX, SUPPLIER","BS002"
"PT","RUBIKON","Rekanan Terdaftar","Supplier Menengah,","Sewa Alat : 38 Low Risk (Version 3), Supplier : 45 Low Risk (Version 3)","Nusa Tenggara Timur","ALAT & MATERIAL BANTU PROYEK, SUPPLIER ;","IT002"
"PT","CIPTA GRAHA ABADI","Unverified","Sub Kontraktor Kecil dan Menengah","","Jawa Timur","","BS001"
"PT","Elshaddai Exterior Inovasi","Registered","Supplier Besar","","DKI Jakarta","","PB001"
