KUALIFIKASI PERUSAHAAN,NAMA VENDOR,STATUS REKANAN,BIDANG USAHA,CQSMS VENDOR,PROVINSI,INDUSTRY KEY,KODE SUBKLASIFIKASI SBU
"PT","MAKMUR TOTAL SEJAHTERA","Rekanan Terdaftar","Supplier","Supplier : 75 Medium Risk (Version 1)","Jawa Timur","PRECAST SALURAN , KANSTIN , BARRIER & KOLOM PRAKTIS, SUPPLIER","PL003"
"CV","Surveyor Indonesia","Calon Rekanan Waskita Approved Level 1","Supplier Menengah","","Sulawesi Selatan","","RK001"
"CV","Selaras lawang Sewu","Calon Rekanan Waskita Approved Level 1","Sub Kontraktor Kecil dan Menengah,","","Jawa Barat","BATU BRONJONG / GABION, SUPPLIER ;","BG002"
"PT","BANGUN SARANA BAJA","Unverified","Sub Kontraktor Kecil dan Menengah","","DI Aceh","ALAT & MATERIAL BANTU PROYEK, SUPPLIER","BG003"
"PT","ADITYA KARYA SENTOSA","Unverified","Sub Kontraktor","","Sumatera Utara","","BS002"
"PT","Beton Elemenindo Perkasa","Registered","Supplier Menengah","","DKI Jakarta","","KK001"
"PT","CV. KARYA PERSADA","Registered","Konsultan Konstruksi","","Sumatera Utara","","BG002"
"CV","SEKAWAN BAYU PERKASA","Rekanan Terdaftar","Sewa Alat","Sewa Alat : 98 High Risk (Version 3)","DKI Jakarta","EXCAVATOR & EXCAVATOR LONG ARM, SEWA","PL004"
"CV","PADIMAS GRAHA SEJAHTERA","Unverified","Sub Kontraktor","","Jawa Tengah","","BG009"
"PT","TIRTA MARTA WIRATAMA","Registered","Supplier Menengah,","","Jawa Barat","","IN008"
"PT","JAYA ABADI TEKNIK","Rekanan Terseleksi Waskita","Sewa Alat","Sewa Alat : 48 Medium Risk (Version 3)","DKI Jakarta","CRAWLER CRANE, SEWA ;","BS001"
"CV","LUBANA ALFATH SENTOSA","Rekanan Terdaftar","Supplier Menengah","Supplier : 70 Medium Risk (Version 1)","Sumatera Selatan","ALAT & MATERIAL BANTU PROYEK, SUPPLIER","BG002"
"CV","LITERRA LOKA TRIJAYA","Rekanan Terdaftar","Supplier Menengah","Supplier : 59 Medium Risk (Version 3)","Jawa Tengah","AGREGAT & BATU PECAH / BELAH, SUPPLIER ;","PL003"
"CV","Dwi Jaya Niaga","Registered","","","DI Aceh","","PL003"
"PT","BELLA JAYA LESTARI","Rekanan Terdaftar","Supplier Menengah","Supplier : 45 Low Risk (Version 3)","DKI Jakarta","POMPA AIR BERSIH & AIR KOTOR, SUPPLIER ;","BG009"
"PT","FARMEL CIPTA MANDIRI","Registered","Supplier Menengah","","Jawa Barat","","BS005"
"CV","VARIA USAHA BETON","Unverified","Supplier Menengah","","Sulawesi Selatan","","KK012"
"CV","BERKAH JAYA GLOBALINDO","Rekanan Terdaftar","Supplier Menengah,","Sub Kontraktor : 62 High Risk (Version 3)","Jawa Tengah","ALAT & MATERIAL BANTU PROYEK, SUPPLIER ;","BS004"
"CV","INDO SINERGI KONSTRUKSI","Rekanan Terdaftar","Perusahaan Mikro dan Kecil (Supplier dan Non-Konstruksi)","","Nusa Tenggara Timur","","BG001"
"PT","BINTANG SELATAN AGUNG","Unverified","Supplier","","DKI Jakarta","","BS001"
"PT","CV. TRIZ KREASINDO","Registered","","","Ilirska Bistrica","","BS004"
"PT","KALIRANDOE JAYA ABADI","Unverified","Supplier Menengah","","DKI Jakarta","CARPET, SUBKON","BS001"
"PT","MATRA BANGUN TECHNOCONSULT","Rekanan Terdaftar","Supplier Menengah","Supplier : 95 High Risk (Version 3)","DKI Jakarta","BETON READY MIX, SUPPLIER","RK001"
"PT","SAVIN SUKSES SEJAHTERA","Registered","Perusahaan Mikro dan Kecil (Supplier dan Non-Konstruksi)","","Jawa Barat","","BS004"
"PT","GEOFORCE INDONESIA","Unverified","Supplier Besar","","DKI Jakarta","","PL003"
"CV","KADI INTERNATIONAL","Unverified","Sub Kontraktor Kecil dan Menengah","Sub Kontraktor : 89 High Risk (Version 3)","DKI Jakarta","KONSTRUKSI BAJA BUILDING, SUBKON","BS001"
"PT","GAPURA ALAM PERSADA","Registered","Supplier Menengah,","","DKI Jakarta","AIR CONDITIONING / AC & FAN, SUPPLIER ;","BS004"
"PT","WASKITA BETON PRECAST TBK","Unverified","Sub Kontraktor Kecil dan Menengah","","DKI Jakarta","","KP001"
"PT","NIKKEN KARYA PERANCAH","Rekanan Terdaftar","Supplier Menengah,","Sewa Alat : 68 High Risk (Version 3), Supplier : 50 Medium Risk (Version 3)","DKI Jakarta","AGREGAT & BATU PECAH / BELAH, SUPPLIER ;","BS002"
"PT","BUMI INTI GEMILANG","Unverified","Jasa Khusus Menengah dan Besar - Non Konstruksi","","DKI Jakarta","SEWA GUDANG ;","BS001"
"PT","INDONESIA PONDASI RAYA TBK","Registered","Konsultan Konstruksi","","DKI Jakarta","","KK001"
"Persekutuan Perdata Lainnya","Prisma Sarana Jaya Utama","Unverified","Jasa Khusus Menengah dan Besar - Non Konstruksi","","DKI Jakarta","","KK001"
"PT","WPMAZ KARYA","Unverified","Sub Kontraktor Kecil dan Menengah","","Banten","BEKISTING / FORMWORK INFRASTRUCTURE, SUBKON","BS001"
"PT","SADA DAYA INTERNASIONAL","Rekanan Terseleksi Waskita","Jasa Khusus Menengah dan Besar - Non Konstruksi","","DI Yogyakarta","","BG002"
"PT","MASTER FONDASI INDONESIA","Rekanan Terdaftar","Sub Kontraktor Besar,","","Jawa Barat","JASA KONSULTANSI JASA REKAYASA KONSTRUKSI, SUBKON","BS017"
"CV","KARYA PRIMA PONDASI","Rekanan Terseleksi Waskita","Sub Kontraktor Kecil dan Menengah","Sub Kontraktor : 70 High Risk (Version 3)","DKI Jakarta","PAGAR SEMENTARA, SUBKON","KK001"
"PT","Hayana Solindo Utama","Unverified","Sub Kontraktor","","DKI Jakarta","","BG002"
"PT","BHUMI BHAKTI SUKSES PERSADA","Rekanan Terdaftar","Sub Kontraktor Besar","Sub Kontraktor : 45 Low Risk (Version 2)","Kalimantan Utara","GALIAN & TIMBUNAN, SUBKON","PL004"
"CV","Bangun Karyatama Mandiri","Registered","Supplier","","Riau","","BS001"
"CV","ARTHAMAS GRAHAANDALAN","Unverified","Supplier","","Jawa Tengah","","KK016"
"PT","PURWA JAYA","Rekanan Terdaftar","Supplier Besar","Supplier : 50 Medium Risk (Version 3)","DKI Jakarta","BBM / BAHAN BAKAR MINYAK, SUPPLIER","BG001"
"CV","CHELIN BERKAH MURNI","Rekanan Terdaftar","Sewa Alat","Sewa Alat : 40 Low Risk (Version 2)","Jawa Timur","SCAFFOLDING / PERANCAH & ACCESSORIES, SEWA","BG002"
"PT","DUA PUTRA JAYA","Calon Rekanan Waskita Approved Level 1","Supplier Menengah","","Kalimantan Timur","SEMEN, SUPPLIER","BG006"
"PT","PADU KARYA JAYA NUSA","Registered","Supplier Besar,","","Bali","","PL004"
"PT","Bayu Maju Jaya","Rekanan Terseleksi Waskita","Sewa Alat","Sewa Alat : 72 High Risk (Version 3), Supplier : 63 High Risk (Version 2)","Sulawesi Selatan","EXCAVATOR & EXCAVATOR LONG ARM, SEWA","BG009"
"PT","CV.CERIA","Unverified","Jasa Khusus Menengah dan Besar - Non Konstruksi","","DKI Jakarta","","BG005"
"CV","DUNGO REKSA","Unverified","Supplier","","Jawa Tengah","","BG009"
"PT","GLOBAL TEKNIK SEMESTA","Registered","Supplier Menengah","","DKI Jakarta","","BG002"
"PT","CV ALASTAIR","Unverified","Perusahaan Mikro dan Kecil (Supplier dan Non-Konstruksi)","Sewa Alat : 59 Medium Risk (Version 3)","DKI Jakarta","EKSPEDISI / ANGKUTAN DARAT, SUBKON","BG009"
"PT","MEKAR JAYA PERSADA","Rekanan Terdaftar","Sub Kontraktor Kecil dan Menengah","Sub Kontraktor : 54 Low Risk (Version 1)","DKI Jakarta","GALIAN & TIMBUNAN, SUBKON","BG009"
"PT","ASRI KARYA LESTARI TBK","Registered","Sub Kontraktor Kecil dan Menengah","","Kalimantan Timur","","BG005"
"PT","ANUGERAH WIJAYATRISNA","Rekanan Terdaftar","Sewa Alat","Sewa Alat : 39 Low Risk (Version 3)","DKI Jakarta","DUMP TRUCK, SEWA","KK001"
"CV","CENDANA JAYA MANDIRI","Registered","Perusahaan Mikro dan Kecil (Supplier dan Non-Konstruksi)","","Jawa Timur","ELECTRICAL & CABLE POWER , SUPPLIER ;","BG005"
"PT","Anugerah Solusi Tekindo","Rekanan Terdaftar","Sewa Alat,","","DKI Jakarta","EKSPEDISI / ANGKUTAN DARAT, SUBKON","IN006"
"PT","Menara Bangun Sinergi","Waiting List Dokumen","Supplier Menengah,","","Jawa Timur","ELEKTRIKAL, SUBKON ;","BG003"
"PT","GEO FONDASI MULTI KONSULTAN","Calon Rekanan Waskita Approved Level 1","Supplier Besar","","DKI Jakarta","CIVIL CHEMICAL, SUPPLIER","AR003"
"PT","INDORAYA NUSANTARA DJAYA","Unverified","Jasa Khusus Menengah dan Besar - Non Konstruksi","","DKI Jakarta","KONSULTAN MANAJEMEN & BISNIS","IN001"
"PT","SINAR PRANA SEMESTA","Rekanan Terseleksi Waskita","Sub Kontraktor Kecil dan Menengah","Sub Kontraktor : 100 High Risk (Version 3)","DKI Jakarta","SALURAN & DRAINASE, SUBKON ;","RK002"
"PT","JAYA ABADI TEKNIK","Rekanan Terdaftar","Sub Kontraktor Besar","Sub Kontraktor : 51 Medium Risk (Version 3)","Jawa Barat","KONSTRUKSI BAJA BUILDING, SUBKON","BS001"
"PT","SANPALA INTICON","Unverified","Supplier","Supplier : 55 Low Risk (Version 1)","DKI Jakarta","","PL003"
"PT","HAEMES MANDIRI SEJAHTERABANTA","Registered","Supplier Besar","","Jawa Timur","","PL004"
"CV","GUDANG GAJAH LESTARI","Calon Rekanan Waskita Approved Level 1","Sub Kontraktor Kecil dan Menengah","","Bali","KONSTRUKSI BANGUNAN HUNIAN / RUMAH / BANGUNAN BERTINGKAT, SUBKON","BG003"
"PT","CLIMINDO JAYA","Rekanan Terdaftar","Sub Kontraktor Kecil dan Menengah","Sub Kontraktor : 92 High Risk (Version 2), Supplier : 80 High Risk (Version 2)","DKI Jakarta","UTILITAS MECHANICAL ELECTRICAL ELECTRONIC PLUMBING / MEEP, SUBKON","BS002"
"CV","PIRANTI GEMILANG MANDIRI","Registered","Jasa Khusus Menengah dan Besar - Non Konstruksi","","Jawa Barat","","BS001"
"PT","CIPTA KARYA PARAMAYOGA","Blacklist","Supplier Menengah,","Sewa Alat : 73 High Risk (Version 3), Supplier : 70 High Risk (Version 3)","DKI Jakarta","AGREGAT & BATU PECAH / BELAH, SUPPLIER ;","BG006"
"CV","MEGANTARA AGUNG PERSADA","Calon Rekanan Waskita Approved Level 1","Sub Kontraktor Kecil dan Menengah","","Jawa Timur","KONSTRUKSI BANGUNAN HUNIAN / RUMAH / BANGUNAN BERTINGKAT, SUBKON","BG001"
"PT","DIRGANTARA YUDHA ARTHA","Unverified","Supplier Menengah","","DKI Jakarta","","BS001"
"PT","VINCA ROSIANA UTAMA","Calon Rekanan Waskita Approved Level 1","Supplier","","DKI Jakarta","Tidak diketahui","PB010"
"PT","ARGAMANIK DUTA ANTARI","Registered","Supplier Besar,","","Kep Riau","AGREGAT & BATU PECAH / BELAH, SUPPLIER ;","IN008"
"PT","PASSOKORANG","Unverified","Supplier","","Kep Riau","","BS001"
"PT","YUDHA PRATAMA","Unverified","Sub Kontraktor Besar","","Lampung","RELOKASI BANGUNAN EKSISTING, SUBKON","BS001"
"PT","MANDIRI BERKAH SETIA","Rekanan Terdaftar","Supplier Besar","Supplier : 45 Low Risk (Version 2)","DKI Jakarta","AGREGAT & BATU PECAH / BELAH, SUPPLIER ;","BS002"
"PT","SARANA JATI RAYA","Calon Rekanan Waskita Approved Level 1","Sub Kontraktor Kecil dan Menengah","","Jawa Barat","ERECTION GIRDER, SUBKON","BS001"
"PT","WAAGNER BIRO INDONESIA","Rekanan Terdaftar","Sub Kontraktor Kecil dan Menengah","Sub Kontraktor : 67 High Risk (Version 3)","DKI Jakarta","PLUMBING, SUBKON","KK016"
"PT","PT. BIMASAKTI SELULAR INDONESIA","Unverified","Supplier Besar","Supplier : 70 Medium Risk (Version 1)","Jawa Barat","","BS008"
"PT","WISWANI KHARYA MANDIRI","Rekanan Terdaftar","Sewa Alat","Sewa Alat : 81 High Risk (Version 3)","DKI Jakarta","EXCAVATOR & EXCAVATOR LONG ARM, SEWA","BG008"
"PT","SUMBER NUSANTARA ADITYA PRATAMA","Unverified","Supplier Menengah","","Lampung","","PL003"
"PT","MODECO INTI GROUP","Unverified","Supplier Menengah,","","DKI Jakarta","GALIAN & TIMBUNAN, SUBKON","BS001"
"PT","Viratama Satya","Unverified","Sub Kontraktor","","","","BS001"
"PT","PT CAHAYA TOTAL NUSANTARA","Rekanan Terdaftar","Supplier Besar","Supplier : 60 Medium Risk (Version 3)","DKI Jakarta","ALAT & MATERIAL BANTU PROYEK, SUPPLIER","BG009"
"PT","CHAIDAR","Rekanan Terdaftar","Konsultan Konstruksi","","DKI Jakarta","JASA KONSULTANSI JASA REKAYASA KONSTRUKSI, SUBKON ;","ST001"
"CV","LAKSANA MATRA SEDAYA","Registered","Supplier Menengah","","Banten","","PB004"
"Others (Foreign Company)","PT ALUMICA BORNEO NUSANTARA","Rekanan Terseleksi Waskita","Supplier Menengah,","Supplier : 45 Low Risk (Version 3)","DKI Jakarta","ALAT & MATERIAL BANTU PROYEK, SUPPLIER ;","BS001"
"PT","DUA SAUDARA JAYATEKNIK","Rekanan Terdaftar","Supplier Menengah","Supplier : 30 (Version 3)","DKI Jakarta","KONSULTAN MANAJEMEN & BISNIS ;","IN008"
"PT","MENARA EMAS GEMILANG","Unverified","Supplier Besar","","Banten","","KK001"
"CV","WISWAKHARMAN","Rekanan Terdaftar","Sub Kontraktor Kecil dan Menengah","Sub Kontraktor : 95 High Risk (Version 3)","DKI Jakarta","MARKA JALAN, SUBKON ;","AL001"
"PT","ASRI KEMASINDO","Rekanan Terdaftar","Jasa Khusus Menengah dan Besar - Non Konstruksi","Sub Kontraktor : 40 Low Risk (Version 3)","DKI Jakarta","EKSPEDISI / ANGKUTAN LAUT & SUNGAI, SUBKON","PL002"
"PT","FAS Sinergi Indonesia","Calon Rekanan Waskita Approved Level 1","Sub Kontraktor Besar","","DKI Jakarta","ASPAL & HOTMIX, SUBKON","BG003"
"PT","RICKY KENCANA SUKSES MANDIRI","Unverified","Sub Kontraktor","","Banten","","BS001"
"PT","SEJAHTERA MANDIRI DUARIBU DUA","Calon Rekanan Waskita Approved Level 1","Supplier Menengah","","DKI Jakarta","PIPA BLACKSTEEL & GALVANIS & VALVE FITTINGS, SUPPLIER","BG005"
"CV","LEMTEK KONSULTAN INDONESIA","Registered","Supplier Menengah","","Nusa Tenggara Timur","","AL002"
"PT","PATIGENI MITRA SEJATI","Unverified","Sewa Alat","","Jawa Tengah","BULLDOZER / DOZER, SEWA ;","IN007"
"PT","PIRAMID MAS PERDANA","Unverified","Supplier Menengah","","DKI Jakarta","","IN001"
"PT","ARGO SUKSES ABADI","Registered","Supplier Menengah","","Sumatera Utara","","IN002"
"PT","Cempaka Karunia","Unverified","Supplier","","Banten","","BG002"
"PT","SATYA CIPTA UTAMA","Unverified","Supplier Besar","","DKI Jakarta","BATU BRONJONG / GABION, SUPPLIER","BG001"
"PT","CAKRA PESONA INTI MEDIA","Unverified","Sub Kontraktor Kecil dan Menengah","","DKI Jakarta","","BS001"
"PT","UNITEST PRESISI INDONESIA","Unverified","Jasa Khusus Menengah dan Besar - Non Konstruksi","","Jawa Timur","","RK005"
"PT","RAHMA ISTANA SEJAHTERA","Unverified","Supplier","","DKI Jakarta","","IN004"
"PT","KRUENG MEUH","Unverified","Supplier Menengah,","","DKI Jakarta","PERALATAN PENGUKURAN & ALAT BANTU SURVEY, SUPPLIER","BS001"
"PT","ANUGERAH FONDASI INDONESIA","Rekanan Terdaftar","Sub Kontraktor Besar","Sub Kontraktor : 61 High Risk (Version 3), Supplier : 60 Low Risk (Version 1)","Lampung","ASPAL & HOTMIX, SUBKON ;","BG002"
"PT","Rayyan Jaya","Unverified","Supplier","","Kep Bangka Belitung","","BG001"
"PT","LINTANG KAHURIPAN","Unverified","Supplier Menengah","","DKI Jakarta","","BS004"
"PT","MULTI KARYA SENTOSA","Unverified","Sub Kontraktor","","DKI Jakarta","","ST007"
"","BUMI LINTAS RAYA","Unverified","Supplier","","Jawa Barat","","BS001"
"PT","HAKAASTON","Registered","Supplier Menengah","","Jawa Barat","","BS001"
"PT","Gading Semesta Utama","Unverified","Sewa Alat","","Jawa Tengah","","PL004"
"PT","DION BROTHERS","Unverified","Sub Kontraktor Kecil dan Menengah","","Jawa Timur","","BG006"
"PT","BUDI PERKASA ALAM","Calon Rekanan Waskita Approved Level 1","Sewa Alat","","DKI Jakarta","","IN004"
"PT","MIRA","Unverified","Supplier Besar","","DKI Jakarta","Tidak diketahui","BS012"
"PT","PILAR UNGGUL SEJAHTERA","Unverified","Sub Kontraktor","","Lampung","","BS001"
"PT","MULTI CITRA KSO","Rekanan Terdaftar","Jasa Khusus Menengah dan Besar - Non Konstruksi","","Jawa Barat","TEKNOLOGI INFORMASI / IT","BS002"
"CV","KAPUAS MUSI MADELYN","Registered","Jasa Khusus Menengah dan Besar - Non Konstruksi","","Sumatera Selatan","","PL003"
"CV","TIMUR PERKASA","Calon Rekanan Waskita Approved Level 1","Sub Kontraktor Kecil dan Menengah","","DKI Jakarta","GALIAN & TIMBUNAN, SUBKON ;","BS004"
"PT","UOLA PANDAWA SEJAHTERA","Rekanan Terdaftar","Sub Kontraktor Besar","Sub Kontraktor : 59 Medium Risk (Version 2)","DKI Jakarta","GALIAN & TIMBUNAN, SUBKON ;","IN001"
"CV","JACKING PILE PRATAMA","Rekanan Terseleksi Waskita","Supplier Menengah","Supplier : 60 Low Risk (Version 1)","Jawa Tengah","ALAT & MATERIAL BANTU PROYEK, SUPPLIER","KK001"
"PT","CV JUHD SHADIQ MAKMUR","Rekanan Terseleksi Waskita","Jasa Khusus Menengah dan Besar - Non Konstruksi","","DKI Jakarta","TEKNOLOGI INFORMASI / IT","BS004"
"PT","Bumi Beam Center","Unverified","Sewa Alat,","","Kalimantan Timur","Tidak diketahui","BG003"
"PT","WAKIDS MANDIRI","Unverified","Sub Kontraktor Kecil dan Menengah","","Sumatera Utara","AIR CONDITIONING / AC & FAN, SUPPLIER","BS001"
"PT","SUMBER NUSANTARA ADITYA PRATAMA","Unverified","Jasa Khusus Menengah dan Besar - Non Konstruksi","","DKI Jakarta","","PL003"
"PT","CV CIPTA PRIMA ENGINEERING","Registered","","","DI Aceh","","RK001"
"PT","SUN UTAMA KONSTRUKSI","Unverified","Supplier Besar,","","DKI Jakarta","RUBBER SPECIALIST, SUBKON ;","BS001"
"PT","JAYA SOLUSI CEMERLANG","Rekanan Terdaftar","Sub Kontraktor Kecil dan Menengah","Sub Kontraktor : 38 Low Risk (Version 3), Supplier : 65 Medium Risk (Version 1)","Jawa Barat","BEKISTING / FORMWORK INFRASTRUCTURE, SUBKON","BS009"
"PT","CIPTA MARGA MANDIRI","Unverified","Supplier Menengah","","Jawa Barat","ELECTRICAL PANELS ( HV , MV , LV ), SUPPLIER","BS009"
"CV","PRIMA PONDASI PERKASA","Unverified","Sub Kontraktor","","Kalimantan Tengah Ce","","KK001"
"CV","RAJA MUDA ABADI","Registered","Sub Kontraktor Kecil dan Menengah","","Jawa Timur","PAGAR PEMBATAS TOL / JALAN, SUBKON","BS016"
"PT","TATA KREASINDO JAYA","Rekanan Terdaftar","Supplier Menengah","Supplier : 63 Medium Risk (Version 1)","Banten","","BS008"
"PT","CV KING MAKMUR SENTOSA","Calon Rekanan Waskita Approved Level 1","Supplier","","Banten","","BG009"
"PT","JAYA MEGAH KENCANA","Rekanan Terseleksi Waskita","Jasa Khusus Menengah dan Besar - Non Konstruksi","","DKI Jakarta","KONSULTAN MANAJEMEN & BISNIS","BS005"
"PT","BANGKA CAKRA KARYA","Unverified","Sub Kontraktor Kecil dan Menengah","Sub Kontraktor : 50 Medium Risk (Version 3)","Jawa Barat","SANDWICH PANEL, SUBKON","BS002"
"PT","Daya Prima","Calon Rekanan Waskita Approved Level 1","Supplier Besar","","Jawa Barat","","BG002"
"PT","KARSA BUANA LESTARI","Registered","Sub Kontraktor Kecil dan Menengah","","Sulawesi Selatan","","RK005"
"PT","KOKOH SEMESTA","Registered","Sub Kontraktor Besar","","DKI Jakarta","","IN003"
"PT","MEGA KENCANA","Calon Rekanan Waskita Approved Level 1","Sewa Alat","Sewa Alat : 94 High Risk (Version 3)","DKI Jakarta","EXCAVATOR & EXCAVATOR LONG ARM, SEWA ;","BG002"
"CV","CAHAYA INTI CEMERLANG LAMPUNG","Registered","Supplier Menengah,","","Banten","","BS001"
"PT","CHALYSINDO CHATRA UTAMA","Rekanan Terdaftar","Supplier Menengah","Supplier : 80 High Risk (Version 3)","DKI Jakarta","BETON READY MIX, SUPPLIER","IT002"
"CV","SPECTRA ODELIA SHORAI","Registered","","","DI Aceh","","BS005"
"PT","WAHANA AGFA KREASI","Unverified","Supplier Menengah","","Jawa Barat","","BS001"
"PT","Miranila Abadi","Registered","Sub Kontraktor Kecil dan Menengah","","Jawa Barat","","KK012"
"PT","CIPTA ANDALAN PERSADA","Registered","Supplier Menengah,","","Kalimantan Timur","","RK001"
"CV","DINAMIKA SENTOSA RAYA","Rekanan Terdaftar","Sub Kontraktor Kecil dan Menengah","Sub Kontraktor : 47 Medium Risk (Version 2)","Jawa Timur","ACP / ALUMINIUM COMPOSITE PANEL, SUBKON ;","BS004"
"Persekutuan Perdata Lainnya","PUTRA PALOH","Unverified","Konsultan Konstruksi","","DKI Jakarta","HOTEL / PENGINAPAN ;","BS004"
"CV","SURYA SEJAHTERA PERKASA","Registered","","","DI Aceh","","BG006"
"PT","PT. KANE PERKASA INDONESIA","Unverified","Supplier","","","","PL003"
"PT","Struktur Pintar Indonesia","Rekanan Terdaftar","Sub Kontraktor Kecil dan Menengah","Sub Kontraktor : 31 Low Risk (Version 2)","Kep Riau","GALIAN & TIMBUNAN, SUBKON","BS008"
"PT","DWI UNGGUL ABADI","Registered","","","DI Aceh","","KK011"
"PT","Tiga Kurnia Sukses Makmurabadi","Registered","Supplier Menengah","","DKI Jakarta","","IN008"
"PT","CIGADING HABEAM CENTRE","Unverified","Supplier","","DKI Jakarta","","KK016"
"PT","DITA JAYA KONSTRUKSI","Rekanan Terdaftar","Sub Kontraktor Besar","Sub Kontraktor : 62 Medium Risk (Version 1)","DKI Jakarta","STRESSING, SUBKON","BS001"
"PT","SINAR SELARAS SAKTI","Rekanan Terdaftar","Perusahaan Mikro dan Kecil (Supplier dan Non-Konstruksi)","","DKI Jakarta","GENERAL CLEANING, SUBKON ;","BS001"
"PT","PANJI MULYO ASMORO","Rekanan Terdaftar","Supplier Besar","Supplier : 91 High Risk (Version 3)","DKI Jakarta","ALAT & MATERIAL BANTU PROYEK, SUPPLIER ;","ST001"
"Persekutuan Perdata Lainnya","Ersalindo Bangun Lestari","Rekanan Terdaftar","Perusahaan Mikro dan Kecil (Supplier dan Non-Konstruksi)","Supplier : 55 Low Risk (Version 1)","Bali","ATK / ALAT TULIS KANTOR, SUPPLIER","BG009"
"CV","YULIA INDAH","Unverified","Supplier","","Sumatera Utara","","BS001"
"PT","Sinergy Bersama Mandiri","Calon Rekanan Waskita Approved Level 1","Perusahaan Mikro dan Kecil (Supplier dan Non-Konstruksi)","","DKI Jakarta","TEKNOLOGI INFORMASI / IT","BS002"
"CV","MUTU JAYA KONSTRUKSI","Rekanan Unggul Waskita","Supplier Menengah","Supplier : 65 Medium Risk (Version 1)","DKI Jakarta","","BS002"
"PT","FREYSSINET TOTAL TECHNOLOGY","Registered","Supplier Besar","","DKI Jakarta","","BG002"
"CV","CND GEOTEKNIKA","Unverified","Sewa Alat","","Jambi","","PL003"
"PT","ROESLINA PONDASI INDONESIA","Unverified","Supplier Menengah","","Jawa Barat","PERALATAN KANTOR, SUPPLIER","KK001"
"PT","PT GROGOL SARANA TRANSJAYA","Registered","Supplier Menengah","","DKI Jakarta","ALAT & MATERIAL BANTU PROYEK, SUPPLIER ;","BS002"
"PT","BERBUNGA JAYA","Unverified","Konsultan Konstruksi","","DKI Jakarta","","BS001"
"PT","GLADIOL NUSATAMA","Unverified","Supplier","","DKI Jakarta","","RK002"
"PT","KHARISMA KILANG KENCANA","Unverified","Supplier Besar,","","Jawa Barat","INSTALASI GENSET, SUBKON","BS002"
"PT","BERKAT CITRANI MITRA SEJATI","Unverified","Supplier","","Kalimantan Timur","","IN008"
"PT","BAHTERA CIPTA ANUGRAH","Rekanan Terdaftar","Sub Kontraktor Besar","Sub Kontraktor : 82 High Risk (Version 3)","DKI Jakarta","ASPAL & HOTMIX, SUBKON ;","BG003"
"CV","WARNA SURYA KEMILAU","Unverified","Sewa Alat","","Riau","","BG001"
"PT","KARYA MAKMUR INTEGRA","Unverified","Supplier Menengah","Supplier : 100 High Risk (Version 3)","DKI Jakarta","KAYU, SUPPLIER","IN008"
"PT","JOWIN PRADANA SEJAHTERA","Rekanan Terdaftar","Supplier Menengah","Supplier : 45 Low Risk (Version 3)","Sulawesi Tengah","BAJA PROFIL, SUPPLIER","PL003"
"PT","KARSA PILAR KONTRUKSI","Rekanan Terdaftar","Sub Kontraktor Kecil dan Menengah","Sub Kontraktor : 52 Low Risk (Version 1), Supplier : 60 Low Risk (Version 1)","Jawa Barat","ELEKTRIKAL, SUBKON ;","BG002"
"PT","Maha Akbar Sejahtera","Registered","Sub Kontraktor Kecil dan Menengah","","DKI Jakarta","","BS009"
"PT","Pratama Motivasi Mandiri","Rekanan Terseleksi Waskita","Supplier Besar","Supplier : 38 Low Risk (Version 2)","DKI Jakarta","BAJA PROFIL, SUPPLIER","IN006"
"PT","PRIMA ARTISTIKA GRAHA","Unverified","Supplier Menengah","","DKI Jakarta","","PB003"
"PT","GLOBAL SOLUSI KONSULTAN","Rekanan Terdaftar","Supplier Menengah","Supplier : 40 Low Risk (Version 3)","Jawa Barat","FURNITURE, SUPPLIER","AR003"
"PT","BORLAND NUSANTARA","Unverified","Supplier Menengah","","Lampung","ALAT & MATERIAL BANTU PROYEK, SUPPLIER","KK001"
"PT","ANANDA PRATAMA","Rekanan Unggul Waskita","Sub Kontraktor Kecil dan Menengah","Sub Kontraktor : 90 High Risk (Version 3), Supplier : 75 High Risk (Version 3)","DKI Jakarta","ELEKTRIKAL, SUBKON ;","BS001"
"PT","DUTA PRATAMA ENGINEERING","Registered","Sub Kontraktor Besar","","DKI Jakarta","","RT002"
"CV","Gunanusa Utama Fabricators","Unverified","Supplier","","Kep Riau","","ST006"
"PT","TITIKUTAMA AGUNG","Rekanan Terdaftar","Supplier Besar,","Sub Kontraktor : 51 Low Risk (Version 1)","Kep Riau","PENGECATAN BANGUNAN, SUBKON ;","IT002"
"PT","BAHTERA AGUNG","Rekanan Terdaftar","Perusahaan Mikro dan Kecil (Supplier dan Non-Konstruksi)","Sub Kontraktor : 85 High Risk (Version 3)","DKI Jakarta","BEKISTING / FORMWORK INFRASTRUCTURE, SUBKON","BS001"
"PT","BAKRIE METAL INDUSTRIES","Unverified","Sub Kontraktor Kecil dan Menengah","","Sulawesi Tengah","Tidak diketahui","BS002"
"PT","EMPAT SAUDARA MULTI USAHA DINAMIKA","Rekanan Terdaftar","Supplier Menengah","Supplier : 60 Low Risk (Version 1)","DKI Jakarta","AGREGAT & BATU PECAH / BELAH, SUPPLIER ;","BS001"
